,STORE_CD,L12M_TY_QTY,CHANNEL_DSC,SUBCHANNEL_DSC,FOOD_TYPE_GROUP_DSC,WINE_FLG,LIQUOR_FLG,WHITE_POP_PCT,BLACK_POP_PCT,ASIAN_POP_PCT,HISP_POP_PCT,LEAST_ACC_HISP_POP_PCT,BI_CULTURAL_HISP_POP_PCT,MOST_ACC_HISP_POP_PCT,OTHER_POP_PCT,INCOME_POP_L10_PCT,INCOME_POP_1020_PCT,INCOME_POP_2030_PCT,INCOME_POP_3040_PCT,INCOME_POP_4050_PCT,INCOME_POP_5075_PCT,INCOME_POP_75100_PCT,INCOME_POP_G100_PCT,MALE_POP_2124_PCT,MALE_POP_2534_PCT,MALE_POP_3544_PCT,MALE_POP_4554_PCT,MALE_POP_5564_PCT,MALE_POP_6574_PCT,MALE_POP_75_PCT,FEMALE_POP_2124_PCT,FEMALE_POP_2534_PCT,FEMALE_POP_3544_PCT,FEMALE_POP_4554_PCT,FEMALE_POP_5564_PCT,FEMALE_POP_6574_PCT,FEMALE_POP_75_PCT,NORM_L12M_TY_QTY,CLUSTER,RTL_STORE_CD,BEERTYPE
1766,205647193,30.0,DINING,CASUAL DINING,AMERICAN,True,True,0.9104,0.0181,0.0075,0.052000000000000005,0.0106,0.0173,0.0241,0.0092,0.032,0.0691,0.075,0.083,0.0742,0.2083,0.1874,0.2711,0.0263,0.0712,0.0628,0.0626,0.0656,0.0449,0.0269,0.0262,0.0628,0.0621,0.0567,0.0686,0.0464,0.04,0.005109258163302915,0,205647193,NonLowPoint
1767,201616590,104.8889,DINING,CASUAL DINING,AMERICAN,True,True,0.7892,0.0626,0.0738,0.0558,0.0114,0.02,0.0243,0.0154,0.0281,0.0442,0.0526,0.0627,0.065,0.1774,0.15,0.4201,0.023,0.0746,0.0657,0.0661,0.0686,0.0387,0.0225,0.0229,0.0745,0.0657,0.0706,0.0741,0.0448,0.0335,0.018116384172194994,0,201616590,NonLowPoint
1768,101803642,74.0,DINING,FAST CASUAL,PIZZA,True,True,0.8283,0.0566,0.0577,0.0403,0.0073,0.0143,0.0186,0.013999999999999999,0.0186,0.0266,0.0379,0.0506,0.0551,0.1617,0.1706,0.4789,0.0259,0.0605,0.0682,0.0733,0.0637,0.034,0.0149,0.0246,0.062,0.0712,0.0775,0.0682,0.0391,0.02,0.01275142601983775,0,101803642,NonLowPoint
1769,107428275,23.0,DINING,FINE DINING,VARIED MENU,True,True,0.7184,0.0787,0.1121,0.0695,0.0146,0.022000000000000002,0.0329,0.0159,0.039,0.0605,0.0681,0.0719,0.0733,0.1747,0.1416,0.3709,0.0256,0.067,0.0638,0.064,0.0606,0.0353,0.0202,0.0244,0.0693,0.0662,0.0677,0.0653,0.0406,0.0297,0.0038934587315814645,0,107428275,NonLowPoint
1770,101670229,3.0,DINING,FAST CASUAL,PIZZA,False,False,0.8158,0.0525,0.0727,0.0431,0.0091,0.013999999999999999,0.0201,0.0128,0.0424,0.0689,0.078,0.08,0.0744,0.19,0.149,0.3173,0.02,0.0752,0.0686,0.0546,0.0577,0.0372,0.0295,0.0219,0.0824,0.0688,0.0582,0.0674,0.0472,0.0444,0.00041974606952017583,2,,LowPoint
1771,205527082,42.0,DINING,FINE DINING,AMERICAN,True,True,0.7582,0.1065,0.0634,0.0485,0.0121,0.0176,0.0188,0.0176,0.0457,0.064,0.0692,0.0728,0.0725,0.1612,0.1311,0.3835,0.021,0.0844,0.0683,0.0632,0.0625,0.0381,0.0226,0.0218,0.0857,0.0683,0.0645,0.0671,0.0447,0.0343,0.007193485760539688,0,205527082,NonLowPoint
1772,105545896,53.0,LODGING,FULL SERVICE LODGING,VARIED MENU,True,True,0.7658,0.0867,0.0712,0.0537,0.0127,0.0188,0.0223,0.0167,0.0403,0.0581,0.0657,0.0712,0.0711,0.1668,0.1387,0.38799999999999996,0.0237,0.0763,0.0678,0.0653,0.0627,0.0371,0.0212,0.0234,0.0771,0.0682,0.0669,0.0669,0.0431,0.0315,0.009104027724673397,0,105545896,NonLowPoint
1773,202133192,3.0,DINING,CASUAL DINING,VARIED MENU,True,True,0.5722,0.2166,0.1052,0.0738,0.0167,0.0265,0.0306,0.0241,0.0469,0.0758,0.0925,0.1026,0.1001,0.1966,0.1493,0.2362,0.0215,0.0788,0.0717,0.0599,0.0559,0.0324,0.0202,0.0218,0.0804,0.0719,0.0598,0.0593,0.0386,0.0319,0.00041974606952017583,0,202133192,NonLowPoint
1774,202168530,11.0,DINING,CASUAL DINING,AMERICAN,True,True,0.9622,0.0011,0.0026,0.0292,0.0061,0.0095,0.0136,0.0028,0.0264,0.0504,0.0811,0.1046,0.0773,0.1891,0.1801,0.2911,0.0228,0.0603,0.0661,0.068,0.0661,0.0438,0.0266,0.0217,0.0565,0.0638,0.0658,0.0603,0.0438,0.0304,0.001809231134344691,0,202168530,NonLowPoint
1775,107394069,135.0,DINING,CASUAL DINING,MEXICAN,True,False,0.7465,0.0015,0.0202,0.2181,0.0459,0.0718,0.1004,0.0084,0.062,0.1186,0.1069,0.1148,0.11,0.2059,0.1401,0.1417,0.0202,0.0605,0.0553,0.0538,0.0583,0.0374,0.0323,0.0211,0.0572,0.0554,0.0585,0.0564,0.0481,0.0588,0.023346249639124676,1,,LowPoint
