,STORE_CD,L12M_TY_QTY,CHANNEL_DSC,SUBCHANNEL_DSC,FOOD_TYPE_GROUP_DSC,WINE_FLG,LIQUOR_FLG,WHITE_POP_PCT,BLACK_POP_PCT,ASIAN_POP_PCT,HISP_POP_PCT,LEAST_ACC_HISP_POP_PCT,BI_CULTURAL_HISP_POP_PCT,MOST_ACC_HISP_POP_PCT,OTHER_POP_PCT,INCOME_POP_L10_PCT,INCOME_POP_1020_PCT,INCOME_POP_2030_PCT,INCOME_POP_3040_PCT,INCOME_POP_4050_PCT,INCOME_POP_5075_PCT,INCOME_POP_75100_PCT,INCOME_POP_G100_PCT,MALE_POP_2124_PCT,MALE_POP_2534_PCT,MALE_POP_3544_PCT,MALE_POP_4554_PCT,MALE_POP_5564_PCT,MALE_POP_6574_PCT,MALE_POP_75_PCT,FEMALE_POP_2124_PCT,FEMALE_POP_2534_PCT,FEMALE_POP_3544_PCT,FEMALE_POP_4554_PCT,FEMALE_POP_5564_PCT,FEMALE_POP_6574_PCT,FEMALE_POP_75_PCT,NORM_L12M_TY_QTY,CLUSTER,RTL_STORE_CD,BEERTYPE
19,101977948,371.3863,DINING,CASUAL DINING,MEXICAN,True,True,0.5782,0.147,0.0348,0.2034,0.05,0.0667,0.0868,0.0243,0.1076,0.1408,0.1374,0.1287,0.1122,0.1783,0.0908,0.1041,0.0238,0.0819,0.0672,0.0577,0.0571,0.0342,0.0197,0.0236,0.0806,0.0636,0.0542,0.0573,0.0369,0.0301,0.1282256836075783,1,101977948,NonLowPoint
20,202242910,88.0,DINING,FAST CASUAL,MEXICAN,True,False,0.7788,0.0543,0.0678,0.0742,0.0132,0.0224,0.0387,0.0211,0.0933,0.0894,0.1015,0.0995,0.0938,0.1762,0.1089,0.2374,0.1076,0.1106,0.0566,0.0352,0.038,0.0269,0.0159,0.0879,0.0848,0.0529,0.0361,0.0429,0.0299,0.0233,0.030185092217791965,2,202242910,NonLowPoint
21,201735733,142.4715,DINING,CASUAL DINING,MEXICAN,True,False,0.9229,0.0051,0.01,0.0376,0.008,0.0089,0.0207,0.0131,0.0388,0.0827,0.1071,0.1071,0.1025,0.2002,0.1355,0.2261,0.0233,0.0542,0.0626,0.0571,0.0604,0.039,0.0258,0.0219,0.0626,0.0698,0.0583,0.064,0.0462,0.0437,0.049030103687608066,2,201735733,NonLowPoint
22,102140232,6.8889,DINING,CASUAL DINING,MEXICAN,True,True,0.8724,0.0227,0.0066,0.0817,0.0139,0.0259,0.0418,0.0116,0.0445,0.105,0.1091,0.11800000000000001,0.1166,0.1969,0.1552,0.1549,0.0237,0.0609,0.0563,0.0539,0.0613,0.0447,0.0378,0.0235,0.0614,0.0576,0.0578,0.0691,0.0573,0.0582,0.0021238196288344193,1,102140232,NonLowPoint
23,102267698,336.75,BAR/NIGHTCLUB,NEIGHBORHOOD BAR,AMERICAN,True,True,0.6297,0.14,0.1133,0.0884,0.0148,0.0243,0.0493,0.021,0.0405,0.0703,0.0908,0.1046,0.0952,0.1968,0.131,0.2706,0.0275,0.0778,0.0634,0.0545,0.0574,0.0378,0.023,0.0275,0.0768,0.0646,0.0575,0.0627,0.0432,0.0313,0.11624287662095242,1,102267698,NonLowPoint
24,101738131,8.0,BAR/NIGHTCLUB,NEIGHBORHOOD BAR,OTHER,True,True,0.7756,0.0511,0.0713,0.0759,0.0151,0.0229,0.0379,0.0222,0.1378,0.1179,0.1242,0.1112,0.1001,0.1601,0.0898,0.1588,0.1521,0.1164,0.0525,0.0284,0.028999999999999998,0.0202,0.0119,0.1207,0.0824,0.0463,0.0275,0.0323,0.022000000000000002,0.0183,0.002508216831850908,1,101738131,NonLowPoint
25,101739010,14.1388,DINING,CASUAL DINING,MEXICAN,True,True,0.5934,0.2275,0.0705,0.0793,0.0176,0.0215,0.0402,0.0223,0.0803,0.0849,0.1008,0.0997,0.09300000000000001,0.1888,0.1244,0.2282,0.0303,0.0799,0.0594,0.0501,0.0553,0.0386,0.0262,0.0298,0.0785,0.0602,0.0557,0.0654,0.0462,0.0402,0.004632001864591095,1,101739010,NonLowPoint
26,201919318,9.0,BAR/NIGHTCLUB,NEIGHBORHOOD BAR,OTHER,True,True,0.7226,0.1079,0.0174,0.1185,0.0236,0.036000000000000004,0.0589,0.0233,0.0749,0.1086,0.12300000000000001,0.1137,0.0944,0.193,0.1204,0.1721,0.024,0.0727,0.0643,0.0556,0.0578,0.0399,0.0258,0.0237,0.0747,0.064,0.0566,0.0657,0.0465,0.0411,0.0028541777741751713,1,201919318,NonLowPoint
27,101616930,278.75,BAR/NIGHTCLUB,NEIGHBORHOOD BAR,OTHER,True,True,0.8066,0.0521,0.0688,0.0528,0.01,0.0163,0.0264,0.0171,0.0226,0.0397,0.0586,0.0638,0.0705,0.1734,0.138,0.4335,0.0248,0.0741,0.0668,0.0664,0.0634,0.0389,0.02,0.0244,0.0737,0.0674,0.0718,0.0721,0.0452,0.0302,0.09617714196614516,1,101616930,NonLowPoint
28,102178117,49.0,DINING,CASUAL DINING,MEXICAN,True,True,0.9279999999999999,0.0055,0.0056,0.0195,0.0033,0.0061,0.0102,0.0187,0.0475,0.1242,0.1204,0.1179,0.1201,0.2345,0.1234,0.1121,0.0222,0.0582,0.0543,0.0561,0.0596,0.0521,0.0356,0.0229,0.0598,0.0585,0.0599,0.0658,0.0647,0.0571,0.0166926154671457,1,,LowPoint
29,100696069,67.0,DINING,FAST CASUAL,AMERICAN,False,False,0.62,0.1988,0.0309,0.1296,0.0319,0.0414,0.0563,0.017,0.0849,0.1023,0.1044,0.1013,0.0909,0.1723,0.1129,0.231,0.0228,0.0881,0.071,0.0609,0.0594,0.0374,0.0213,0.0245,0.087,0.0695,0.0591,0.0635,0.0437,0.0329,0.022919912428982437,0,,LowPoint
30,102038299,13.0,DINING,CASUAL DINING,MEXICAN,True,True,0.6663,0.1178,0.0124,0.166,0.0355,0.0507,0.0798,0.0251,0.0934,0.1285,0.1347,0.1175,0.0951,0.18100000000000002,0.1068,0.1429,0.0244,0.0701,0.0639,0.0581,0.0596,0.0382,0.0225,0.0237,0.0727,0.0638,0.0576,0.0637,0.0427,0.035,0.0042380215434722245,1,,LowPoint
31,101732149,125.75,BAR/NIGHTCLUB,NEIGHBORHOOD BAR,OTHER,True,True,0.8023,0.0443,0.0494,0.0576,0.0116,0.018000000000000002,0.027999999999999997,0.0258,0.0991,0.1318,0.1298,0.1095,0.0851,0.1884,0.096,0.1602,0.0903,0.105,0.0667,0.0438,0.0396,0.0276,0.0143,0.0826,0.087,0.0622,0.044000000000000004,0.045,0.0313,0.0211,0.0432451177905329,1,101732149,NonLowPoint
32,102052409,24.5,DINING,CASUAL DINING,AMERICAN,True,True,0.8534,0.0221,0.0293,0.0741,0.0133,0.0195,0.0413,0.0148,0.0261,0.0376,0.0535,0.07,0.0692,0.1884,0.1765,0.3786,0.0284,0.0602,0.0581,0.0636,0.0653,0.0412,0.0231,0.0273,0.0618,0.0609,0.0672,0.0696,0.0457,0.0323,0.00821657238020125,1,102052409,NonLowPoint
33,107159120,1.0,DINING,CASUAL DINING,AMERICAN,True,True,0.9509,0.0,0.0032,0.0348,0.005,0.0112,0.0186,0.0063,0.0316,0.0728,0.0886,0.0981,0.1155,0.1867,0.1551,0.2516,0.0292,0.0619,0.0562,0.0574,0.0742,0.0551,0.0315,0.0315,0.0472,0.0472,0.0585,0.0765,0.0495,0.0349,8.649023558106577e-05,1,,LowPoint
34,107299104,150.0,BAR/NIGHTCLUB,NEIGHBORHOOD BAR,OTHER,True,True,0.7946,0.0396,0.1161,0.0316,0.0057,0.0092,0.0166,0.0157,0.0193,0.024,0.0418,0.0476,0.0501,0.1435,0.1309,0.5428,0.0259,0.0588,0.0598,0.0716,0.0656,0.0394,0.0219,0.0255,0.0612,0.0639,0.0776,0.0727,0.0424,0.0311,0.05163467064189628,1,107299104,NonLowPoint
35,107470906,1.0,DINING,CASUAL DINING,AMERICAN,True,True,0.8809,0.0178,0.0203,0.0543,0.0083,0.0154,0.0307,0.0174,0.0228,0.0517,0.0694,0.0842,0.0894,0.2122,0.1624,0.3079,0.0289,0.0666,0.0593,0.0583,0.063,0.0403,0.0226,0.0267,0.0659,0.0613,0.062,0.0682,0.0442,0.0325,8.649023558106577e-05,1,,LowPoint
36,301939180,7.0,BAR/NIGHTCLUB,NEIGHBORHOOD BAR,OTHER,True,True,0.8719,0.0124,0.0082,0.0747,0.0135,0.0281,0.0331,0.0196,0.0592,0.0878,0.11599999999999999,0.1073,0.1005,0.2036,0.1566,0.1689,0.0225,0.0576,0.0587,0.0534,0.0696,0.0438,0.0303,0.0233,0.0554,0.055,0.0547,0.0686,0.0493,0.0456,0.002162255889526645,1,,LowPoint
37,201621717,5.5833,DINING,CASUAL DINING,MEXICAN,True,True,0.767,0.0509,0.0634,0.0654,0.0127,0.0205,0.0322,0.0263,0.0855,0.1263,0.1248,0.1044,0.0856,0.1949,0.1008,0.1777,0.0868,0.1006,0.067,0.044000000000000004,0.0396,0.0275,0.015,0.0757,0.0868,0.062,0.0446,0.0465,0.0324,0.0227,0.0016721330225358613,1,201621717,NonLowPoint
38,101626392,2.0,DINING,FAST CASUAL,PIZZA,False,False,0.9628,0.0038,0.0054,0.0113,0.0024,0.0035,0.0054,0.0126,0.0458,0.055,0.092,0.1095,0.1078,0.268,0.1145,0.2074,0.0196,0.0518,0.0535,0.0608,0.0866,0.0619,0.0506,0.0192,0.052000000000000005,0.0528,0.0585,0.0922,0.0578,0.0707,0.00043245117790532896,0,,LowPoint
