STORE_CD,L12M_TY_QTY,PREMISE_TYPE_DSC,CHANNEL_DSC,SUBCHANNEL_DSC,FOOD_TYPE_GROUP_DSC,INDUSTRY_VOL_DSC,CHAIN_IND_FLG,FRANCHISE_FLG,BEER_FLG,WINE_FLG,LIQUOR_FLG,FINE_WINE_FLG,WHITE_POP_PCT,BLACK_POP_PCT,ASIAN_POP_PCT,HISP_POP_PCT,LEAST_ACC_HISP_POP_PCT,BI_CULTURAL_HISP_POP_PCT,MOST_ACC_HISP_POP_PCT,OTHER_POP_PCT,INCOME_POP_L10_PCT,INCOME_POP_1020_PCT,INCOME_POP_2030_PCT,INCOME_POP_3040_PCT,INCOME_POP_4050_PCT,INCOME_POP_5075_PCT,INCOME_POP_75100_PCT,INCOME_POP_G100_PCT,MALE_POP_2124_PCT,MALE_POP_2534_PCT,MALE_POP_3544_PCT,MALE_POP_4554_PCT,MALE_POP_5564_PCT,MALE_POP_6574_PCT,MALE_POP_75_PCT,FEMALE_POP_2124_PCT,FEMALE_POP_2534_PCT,FEMALE_POP_3544_PCT,FEMALE_POP_4554_PCT,FEMALE_POP_5564_PCT,FEMALE_POP_6574_PCT,FEMALE_POP_75_PCT
101403943,2418.4162,OFF PREMISE,LIQUOR,CONVENTIONAL LIQUOR,OTHER,LOWEST 20% ON/ LOWEST 20% OFF,N,N,Y,Y,Y,N,0.631,0.2081,0.0834,0.0493,0.0098,0.0121,0.0274,0.0215,0.0702,0.0668,0.092,0.0916,0.0854,0.207,0.1423,0.2447,0.031,0.0807,0.0607,0.0484,0.0551,0.0401,0.0298,0.0296,0.0783,0.0592,0.055,0.0686,0.0491,0.048
102031430,781.9997,OFF PREMISE,LIQUOR,CONVENTIONAL LIQUOR,OTHER,TOP 50% ON/ TOP 20% OFF,N,N,Y,Y,Y,N,0.8741,0.0295,0.0316,0.0486,0.0079,0.0137,0.0271,0.0118,0.0139,0.0293,0.0474,0.0576,0.056,0.1773,0.1678,0.4506,0.0253,0.0487,0.0549,0.0618,0.0695,0.0519,0.033,0.0242,0.0537,0.0581,0.0683,0.0778,0.0562,0.0433
101739458,0,ON PREMISE,RECREATION,PRIVATE CLUB,OTHER,TOP 50% ON/ TOP 20% OFF,Y,Y,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107241143,221,OFF PREMISE,GROCERY,SUPERCENTER,OTHER,TOP 50% ON/ TOP 20% OFF,Y,N,Y,N,N,N,0.885,0.0188,0.0065,0.0733,0.0127,0.0232,0.0374,0.0108,0.0398,0.0941,0.1039,0.1155,0.116,0.2132,0.1478,0.1697,0.0247,0.0591,0.0549,0.0569,0.067,0.048,0.0364,0.0244,0.0582,0.0555,0.0596,0.0726,0.057,0.0505
201934980,1719.1662,OFF PREMISE,EXTENDED MASTER OFF-PREMISE,ETHNIC MARKETS,OTHER,LOWEST 20% ON/ LOWEST 20% OFF,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200809708,37,OFF PREMISE,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,OTHER,LOWEST 20% ON/ LOWEST 20% OFF,N,N,Y,N,N,N,0.7402,0.101,0.0065,0.0623,0.0129,0.0195,0.0299,0.0461,0.0924,0.1351,0.132,0.0981,0.0734,0.188,0.1208,0.1601,0.0238,0.061,0.0537,0.0565,0.0706,0.0526,0.0317,0.0239,0.0595,0.0572,0.0584,0.0705,0.0621,0.0459
101946950,0,ON PREMISE,RECREATION,GOLF/COUNTRY CLUB,OTHER,LOWEST 20% ON/ LOWEST 20% OFF,N,N,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101944590,5,OFF PREMISE,EXTENDED MASTER OFF-PREMISE,AUTO REPAIR SERVICE,OTHER,LOWEST 20% ON/ LOWEST 20% OFF,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101530848,31,OFF PREMISE,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,OTHER,MID 30% ON/ MID 60% OFF,Y,N,Y,N,N,N,0.882,0.0271,0.0247,0.0429,0.0053,0.0134,0.0242,0.0173,0.0286,0.0541,0.0826,0.0773,0.062,0.1808,0.1598,0.3548,0.0242,0.0598,0.0774,0.0612,0.0537,0.0341,0.0165,0.0224,0.064,0.0771,0.063,0.0559,0.0353,0.0196
100652100,,OFF PREMISE,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,OTHER,LOWEST 20% ON/ LOWEST 20% OFF,N,N,Y,N,N,N,0.9725,0.0007,0.002,0.0152,0.0022,0.0048,0.0082,0.008,0.0349,0.109,0.1338,0.1099,0.0968,0.2259,0.1471,0.1426,0.0219,0.0555,0.0623,0.0551,0.0682,0.0409,0.0423,0.019,0.0555,0.056,0.0541,0.0696,0.0497,0.0593
103720116,10,ON PREMISE,DINING,CASUAL DINING,MEXICAN,LOWEST 20% ON/ LOWEST 20% OFF,N,N,Y,N,N,N,0.9284,0.0088,0.001,0.0465,0.0071,0.015,0.0244,0.0101,0.0377,0.1147,0.1462,0.1372,0.0946,0.1963,0.1391,0.1343,0.0239,0.0463,0.0573,0.0624,0.0685,0.0522,0.0373,0.0231,0.0485,0.0602,0.0621,0.0794,0.0576,0.0555
