"RTL_STORE_CD","ITEM_MASTER_SKU_DSC","RTL_CHANNEL_DSC","RTL_SUBCHANNEL_DSC","RTL_PREMISE_TYPE_CD","WJXBFS1"
"203764627","CORONA EX 3.2 12PK BT","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","ON",1
"107102483","CORONA EX 3.2 6PK BT","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","ON",2
"100476042","MODELO ESP 3.2 6PK BT","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","OFF",60
"101403664","CORONA EX 24OZ BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",18
"101404070","CORONA EX 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",56
"100136342","MODELO ESP 3.2 24OZ CAN","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","OFF",8
"100930438","CORONITA 7OZ 24PK BT","GROCERY","SUPERMARKET-CONVENTIONAL","OFF",39.6669
"200765981","CORONITA 7OZ 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",3.4998
"207143679","MODELO ESP 3.2 12PK CAN","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","OFF",21
"101403782","CORONA EX 24PK CAN","LIQUOR","CONVENTIONAL LIQUOR","OFF",3
"107418922","CORONA EX 3.2 12PK BT","GROCERY","SUPERMARKET-CONVENTIONAL","OFF",348.5
"101831368","CORONA EX 12PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",87
"100765515","CORONA LT 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",43
"100765515","CERVEZAS CLASICAS 12PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",5
"201834085","MODELO ESP 24OZ BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",23
"101633764","MODELO NEGRA 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",8
"107409034","CORONA EX 6PK BT","GROCERY","SUPERMARKET-CONVENTIONAL","OFF",33
"201916901","MODELO NEGRA 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",9
"101732131","PACIFICO 12PK BT","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","ON",1
"107431061","CORONA EX 6PK BT","LIQUOR","LIQUOR SUPER STORE","OFF",254
"107009475","MODELO ESP 3.2 24OZ CAN","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","OFF",90
"100417743","CORONA EX 3.2 12PK BT","GROCERY","SUPERCENTER","OFF",85
"101491018","MODELO ESP 24PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",222
"100472333","MODELO CHELADA 24OZ CAN","GROCERY","SUPERMARKET-CONVENTIONAL","OFF",42
"101403759","CORONA EX 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",10
"107272469","CORONA LT 3.2 12PK BT","GROCERY","SUPERMARKET-CONVENTIONAL","OFF",48
"201403821","MODELO ESP 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",3
"203661796","MODELO ESP 24OZ CAN","LIQUOR","CONVENTIONAL LIQUOR","OFF",8
"101630702","CORONA EX 16OZ 6PK CAN","LIQUOR","CONVENTIONAL LIQUOR","OFF",13.3333
"203887295","PACIFICO 6PK BT","DINING","CASUAL DINING","ON",2
"101839696","PACIFICO 6PK BT","DINING","CASUAL DINING","ON",1
"105217192","MODELO ESP 24PK CAN","LIQUOR","CONVENTIONAL LIQUOR","OFF",84
"101868612","CORONA EX 18PK CAN","LIQUOR","CONVENTIONAL LIQUOR","OFF",7.5
"101404021","MODELO ESP 24PK CAN","LIQUOR","CONVENTIONAL LIQUOR","OFF",23
"101403947","CORONA EX 24PK CAN","LIQUOR","CONVENTIONAL LIQUOR","OFF",50
"101403947","CORONA FAMILIAR 32OZ BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",81.3328
"103561759","CORONA EX 24PK BT","BAR/NIGHTCLUB","SPORTS BAR","ON",8
"102008570","VICTORIA 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",2
"101404137","MODELO ESP 24PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",270
"100346353","CORONITA 3.2 7OZ 6PK BT","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","OFF",9.9164
"101404020","PACIFICO 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",1
"301939180","CORONA EX 3.2 12PK BT","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","ON",2
"100501834","CORONA EX 3.2 18PK BT","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","OFF",40.5
