"RTL_STORE_CD","BEERTYPE"
"103998174","NonLowPoint"
"101616909","NonLowPoint"
"101868875","NonLowPoint"
"101404081","NonLowPoint"
"101794351","NonLowPoint"
"201733115","NonLowPoint"
"101790634","NonLowPoint"
"101403770","NonLowPoint"
"107502828","NonLowPoint"
"107393304","NonLowPoint"
"101735574","NonLowPoint"
"201621717","NonLowPoint"
"100764366","NonLowPoint"
"101403969","NonLowPoint"
"101476269","NonLowPoint"
"101404011","NonLowPoint"
"101000560","NonLowPoint"
"101404084","NonLowPoint"
"101404095","NonLowPoint"
"103856117","NonLowPoint"
"201732167","NonLowPoint"
"107517773","NonLowPoint"
"200643504","NonLowPoint"
"201767466","NonLowPoint"
"103792335","NonLowPoint"
"101403933","NonLowPoint"
"101000554","NonLowPoint"
"107005692","NonLowPoint"
"101738127","NonLowPoint"
"101616940","NonLowPoint"
"202059662","NonLowPoint"
"100242749","NonLowPoint"
"102709375","NonLowPoint"
"101606241","NonLowPoint"
"101796585","NonLowPoint"
"101804778","NonLowPoint"
"103187757","NonLowPoint"
"101732275","NonLowPoint"
"101403657","NonLowPoint"
"100765393","NonLowPoint"
"107417592","NonLowPoint"
"107417517","NonLowPoint"
"100683776","NonLowPoint"
"100764802","NonLowPoint"
"101942239","NonLowPoint"
"501804005","NonLowPoint"
"101920344","NonLowPoint"
"102166366","NonLowPoint"
"107500041","NonLowPoint"
"103505864","NonLowPoint"
"101637313","NonLowPoint"
"103513204","NonLowPoint"
"107507967","NonLowPoint"
"102320963","NonLowPoint"
"101733081","NonLowPoint"
"101403799","NonLowPoint"
"101735433","NonLowPoint"
"101779733","NonLowPoint"
"302024362","NonLowPoint"
"100764605","NonLowPoint"
"103970319","NonLowPoint"
"101977948","NonLowPoint"
"100765032","NonLowPoint"
"101910691","NonLowPoint"
"101604340","NonLowPoint"
"201970841","NonLowPoint"
"100316569","NonLowPoint"
"101920136","NonLowPoint"
"101737278","NonLowPoint"
"201733241","NonLowPoint"
"101989070","NonLowPoint"
"102049400","NonLowPoint"
"101936331","NonLowPoint"
"103879880","NonLowPoint"
"100768056","NonLowPoint"
"101476234","NonLowPoint"
"202333049","NonLowPoint"
"101403695","NonLowPoint"
"107443744","NonLowPoint"
"101403816","NonLowPoint"
"101792428","NonLowPoint"
"105217223","NonLowPoint"
"101739057","NonLowPoint"
"101476209","NonLowPoint"
"107368998","NonLowPoint"
"107308403","NonLowPoint"
"100764914","NonLowPoint"
"101404041","NonLowPoint"
"103666154","NonLowPoint"
"107180938","NonLowPoint"
"302011341","NonLowPoint"
"201735835","NonLowPoint"
"101404037","NonLowPoint"
"100766198","NonLowPoint"
"101981143","NonLowPoint"
"104001134","NonLowPoint"
"201476142","NonLowPoint"
"101403804","NonLowPoint"
"101403945","NonLowPoint"
"202166373","NonLowPoint"
"101733859","NonLowPoint"
"107492379","NonLowPoint"
"101403856","NonLowPoint"
"207266691","NonLowPoint"
"101403964","NonLowPoint"
"103946193","NonLowPoint"
"200765393","NonLowPoint"
"102268133","NonLowPoint"
"107306401","NonLowPoint"
"101476216","NonLowPoint"
"107300901","NonLowPoint"
"202004169","NonLowPoint"
"100766614","NonLowPoint"
"101580276","NonLowPoint"
"101000481","NonLowPoint"
"107504412","NonLowPoint"
"101403896","NonLowPoint"
"101926800","NonLowPoint"
"101403979","NonLowPoint"
"107156858","NonLowPoint"
"103775204","NonLowPoint"
"101906902","NonLowPoint"
"101878309","NonLowPoint"
"201737990","NonLowPoint"
"101739017","NonLowPoint"
"100254626","NonLowPoint"
"101476170","NonLowPoint"
"100763688","NonLowPoint"
"101633764","NonLowPoint"
"101736767","NonLowPoint"
"101404031","NonLowPoint"
"101403808","NonLowPoint"
"101686761","NonLowPoint"
"101403843","NonLowPoint"
"101992056","NonLowPoint"
"103633570","NonLowPoint"
"101403768","NonLowPoint"
"201735733","NonLowPoint"
"101000544","NonLowPoint"
"101659602","NonLowPoint"
"101485771","NonLowPoint"
"107315983","NonLowPoint"
"101738876","NonLowPoint"
"107300879","NonLowPoint"
"101403781","NonLowPoint"
"101934984","NonLowPoint"
"103752286","NonLowPoint"
"101476232","NonLowPoint"
"201736189","NonLowPoint"
"201677714","NonLowPoint"
"101491018","NonLowPoint"
"201403912","NonLowPoint"
"107328426","NonLowPoint"
"107118185","NonLowPoint"
"205526360","NonLowPoint"
"101404141","NonLowPoint"
"101738280","NonLowPoint"
"101735524","NonLowPoint"
"101404002","NonLowPoint"
"201737489","NonLowPoint"
"100765085","NonLowPoint"
"202024367","NonLowPoint"
"201403645","NonLowPoint"
"101948842","NonLowPoint"
"101403736","NonLowPoint"
"203490729","NonLowPoint"
"101496434","NonLowPoint"
"100763573","NonLowPoint"
"107077864","NonLowPoint"
"107407345","NonLowPoint"
"201733004","NonLowPoint"
"207396948","NonLowPoint"
"107459113","NonLowPoint"
"107413566","NonLowPoint"
"101926678","NonLowPoint"
"100766919","NonLowPoint"
"101403906","NonLowPoint"
"107478377","NonLowPoint"
"101790630","NonLowPoint"
"101403671","NonLowPoint"
"107455072","NonLowPoint"
"201736149","NonLowPoint"
"101735424","NonLowPoint"
"107223557","NonLowPoint"
"107452940","NonLowPoint"
"101403890","NonLowPoint"
"101476192","NonLowPoint"
"101799827","NonLowPoint"
"100478029","NonLowPoint"
"101905981","NonLowPoint"
"101798783","NonLowPoint"
"101787232","NonLowPoint"
"201655988","NonLowPoint"
"103919035","NonLowPoint"
"101476222","NonLowPoint"
"201686701","NonLowPoint"
"101616879","NonLowPoint"
"105527771","NonLowPoint"
"201000263","NonLowPoint"
"201000541","NonLowPoint"
"401739483","NonLowPoint"
"101739105","NonLowPoint"
"201000570","NonLowPoint"
"100763083","NonLowPoint"
"103920777","NonLowPoint"
"103797533","NonLowPoint"
"107348857","NonLowPoint"
"101403759","NonLowPoint"
"101403851","NonLowPoint"
"201403708","NonLowPoint"
"305526362","NonLowPoint"
"107299104","NonLowPoint"
"201732274","NonLowPoint"
"201404077","NonLowPoint"
"301403953","NonLowPoint"
"101000298","NonLowPoint"
"201814268","NonLowPoint"
"100991421","NonLowPoint"
"103714116","NonLowPoint"
"101404126","NonLowPoint"
"202020343","NonLowPoint"
"101736298","NonLowPoint"
"201930185","NonLowPoint"
"101732148","NonLowPoint"
"201926595","NonLowPoint"
"100320814","NonLowPoint"
"201669885","NonLowPoint"
"101403852","NonLowPoint"
"101404108","NonLowPoint"
"301736342","NonLowPoint"
"103792882","NonLowPoint"
"100763081","NonLowPoint"
"101403749","NonLowPoint"
"101404068","NonLowPoint"
"200764914","NonLowPoint"
"101404018","NonLowPoint"
"101738452","NonLowPoint"
"303771642","NonLowPoint"
"107229864","NonLowPoint"
"101403878","NonLowPoint"
"101734140","NonLowPoint"
"101739010","NonLowPoint"
"101476138","NonLowPoint"
"101403638","NonLowPoint"
"201923296","NonLowPoint"
"201943208","NonLowPoint"
"100511063","NonLowPoint"
"100764899","NonLowPoint"
"101404033","NonLowPoint"
"101403883","NonLowPoint"
"101733025","NonLowPoint"
"107457398","NonLowPoint"
"107029723","NonLowPoint"
"100991424","NonLowPoint"
"107180905","NonLowPoint"
"101476212","NonLowPoint"
"101403662","NonLowPoint"
"102056773","NonLowPoint"
"100763475","NonLowPoint"
"101739586","NonLowPoint"
"101404142","NonLowPoint"
"101491008","NonLowPoint"
"203742387","NonLowPoint"
"103853053","NonLowPoint"
"202229249","NonLowPoint"
"100318760","NonLowPoint"
"101000550","NonLowPoint"
"101839369","NonLowPoint"
"101655324","NonLowPoint"
"200765191","NonLowPoint"
"101625624","NonLowPoint"
"201638651","NonLowPoint"
"101855362","NonLowPoint"
"105527923","NonLowPoint"
"100767041","NonLowPoint"
"101732266","NonLowPoint"
"101000266","NonLowPoint"
"100768286","NonLowPoint"
"107517645","NonLowPoint"
"103831598","NonLowPoint"
"202709375","NonLowPoint"
"107431061","NonLowPoint"
"101979144","NonLowPoint"
"102914088","NonLowPoint"
"101734388","NonLowPoint"
"200766550","NonLowPoint"
"101000482","NonLowPoint"
"201919314","NonLowPoint"
"101000511","NonLowPoint"
"101735647","NonLowPoint"
"107511478","NonLowPoint"
"100642115","NonLowPoint"
"107409034","NonLowPoint"
"105217192","NonLowPoint"
"100766199","NonLowPoint"
"102608300","NonLowPoint"
"102174559","NonLowPoint"
"104025484","NonLowPoint"
"101404042","NonLowPoint"
"100764079","NonLowPoint"
"101403732","NonLowPoint"
"101404030","NonLowPoint"
"105528859","NonLowPoint"
"101739451","NonLowPoint"
"101404122","NonLowPoint"
"107027552","NonLowPoint"
"102044923","NonLowPoint"
"101733268","NonLowPoint"
"101403758","NonLowPoint"
"101737985","NonLowPoint"
"301779690","NonLowPoint"
"201736599","NonLowPoint"
"107437036","NonLowPoint"
"202630232","NonLowPoint"
"101404077","NonLowPoint"
"101736774","NonLowPoint"
"103625051","NonLowPoint"
"102048471","NonLowPoint"
"101403713","NonLowPoint"
"101630702","NonLowPoint"
"201404109","NonLowPoint"
"303297892","NonLowPoint"
"201403936","NonLowPoint"
"101623121","NonLowPoint"
"107178370","NonLowPoint"
"101738634","NonLowPoint"
"101000555","NonLowPoint"
"101403937","NonLowPoint"
"101000574","NonLowPoint"
"101000472","NonLowPoint"
"101404057","NonLowPoint"
"101485774","NonLowPoint"
"101606246","NonLowPoint"
"201403648","NonLowPoint"
"107333745","NonLowPoint"
"100766933","NonLowPoint"
"101403728","NonLowPoint"
"107498319","NonLowPoint"
"100765392","NonLowPoint"
"101404058","NonLowPoint"
"107484591","NonLowPoint"
"101623467","NonLowPoint"
"201404140","NonLowPoint"
"101732154","NonLowPoint"
"301737993","NonLowPoint"
"201671562","NonLowPoint"
"101735475","NonLowPoint"
"105528877","NonLowPoint"
"103563561","NonLowPoint"
"101403783","NonLowPoint"
"101868466","NonLowPoint"
"101732066","NonLowPoint"
"101404000","NonLowPoint"
"101747398","NonLowPoint"
"101760049","NonLowPoint"
"101404054","NonLowPoint"
"101476172","NonLowPoint"
"105543630","NonLowPoint"
"101944918","NonLowPoint"
"101000514","NonLowPoint"
"207419910","NonLowPoint"
"107169249","NonLowPoint"
"101826680","NonLowPoint"
"101000576","NonLowPoint"
"107285048","NonLowPoint"
"102488359","NonLowPoint"
"101403747","NonLowPoint"
"203994912","NonLowPoint"
"101000587","NonLowPoint"
"101403873","NonLowPoint"
"101404055","NonLowPoint"
"107354744","NonLowPoint"
"201404017","NonLowPoint"
"107283359","NonLowPoint"
"101655327","NonLowPoint"
"101403903","NonLowPoint"
"102487381","NonLowPoint"
"100766026","NonLowPoint"
"100766734","NonLowPoint"
"101990354","NonLowPoint"
"203896023","NonLowPoint"
"101403668","NonLowPoint"
"101739002","NonLowPoint"
"101491016","NonLowPoint"
"301668000","NonLowPoint"
"101476186","NonLowPoint"
"102007195","NonLowPoint"
"200766614","NonLowPoint"
"107363611","NonLowPoint"
"103847291","NonLowPoint"
"101000490","NonLowPoint"
"101000537","NonLowPoint"
"101404088","NonLowPoint"
"201839408","NonLowPoint"
"101959164","NonLowPoint"
"100764464","NonLowPoint"
"101979140","NonLowPoint"
"101733681","NonLowPoint"
"101403752","NonLowPoint"
"101839696","NonLowPoint"
"101859252","NonLowPoint"
"103945832","NonLowPoint"
"201403677","NonLowPoint"
